FID,vid,cid,id,source,project,pcode,name,visit_date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-137c,1395,279,279,BGR,Qualification status,codmine01209,Kamola,2013-12-01,1,,POINT (27.30024 -7.77984),27.30024,-7.77984,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Museka,Kasanza,Ngoya,,,,1,0,Cassitérite,,,Coltan,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-137b,1396,287,287,BGR,Qualification status,codmine01235,Kisokelo,2013-12-01,1,,POINT (26.741327 -7.915403),26.741327,-7.915403,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Mwanza,Kalwenya,Mwanza seya,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-137a,1397,292,292,BGR,Qualification status,codmine01241,La vie,2013-12-01,1,,POINT (28.2712483333 -5.59801),28.27124833,-5.59801,GPS,Tanganyika,Katanga,Nyunzu,Nord-Lukuga,Bakalanga,Kisengo,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1379,1398,298,298,BGR,Qualification status,codmine01256,Mahoma,2013-12-01,1,,POINT (27.404735 -7.573706),27.404735,-7.573706,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Museka,Kiwala-nord,Kanunka,,,,1,0,Cassitérite,,,Coltan,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1378,1399,299,299,BGR,Qualification status,codmine01261,Mamba,2013-12-01,1,,POINT (26.698819 -7.933694),26.698819,-7.933694,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Mwanza,Kalwenya,Mamba,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1377,1400,309,309,BGR,Qualification status,codmine01302,Ngulu ya mabwe/Mayi Baridi,2013-12-01,1,,POINT (28.1922333333 -6.0120633333),28.19223333,-6.01206333,GPS,Tanganyika,Katanga,Kalemie,Benze,Benze,Benze,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1376,1401,316,316,BGR,Qualification status,codmine01320,Stade /murefu,2013-12-01,1,,POINT (28.300844 -5.603034),28.300844,-5.603034,GPS,Tanganyika,Katanga,Nyunzu,Nord-Lukuga,Bakalanga,Kisengo,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1375,1402,348,348,BGR,Qualification status,codmine01458,Fonderie,2013-12-01,1,,POINT (27.43976 -7.28099),27.43976,-7.28099,GPS,Tanganyika,Katanga,Manono,Bakongolo,Kanteba,Camp Congo-Etain,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1374,1403,352,352,BGR,Qualification status,codmine01504,Kyamwidji,2013-12-01,1,,POINT (27.38902 -7.31635),27.38902,-7.31635,GPS,Tanganyika,Katanga,Manono,Bakongolo,Kanteba,Manono Cité,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1373,1404,357,357,BGR,Qualification status,codmine01520,Lupawa,2013-12-01,1,,POINT (27.45034 -7.28297),27.45034,-7.28297,GPS,Tanganyika,Katanga,Manono,Bakongolo,Kanteba,Kanteba,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
